Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
589.6,G04,X1.0000,,,,,,6.95,0.9,0,2998,1.098901099,6.538461538,7.637362637,28.9010989,25.563,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
590.5,X28.7380,,,,,,,2.78,0.6,300,2998,9.901639344,56.29508197,4.557377049,21,28.738,31.588,3.175,0,3.175,-1.5,0,Climb,1.4,4.5,1.5,5.94,8.91,Cut with Feed,3.175,Face Milling
591.1,G04,X1.0000,,,,,,8.57,1.16,0,2998,2.290598291,8.444444444,7.324786325,21.55555556,28.738,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
592.26,Y-31.5880,,,,,,,173.38,12.56,304.7573588,2998,8.832935561,7.030230708,13.79315831,23.51710422,28.738,-31.588,0,-63.176,63.176,-1.5,0,Conventional,4.6,59.6,1.5,83.01,124.515,Cut with Feed,63.176,Face Milling
604.82,G04,X1.0000,,,,,,6.34,0.89,0,2998,1,8.933333333,7.044444444,16.36666667,28.738,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
605.71,X31.5880,Y-30.0000,,,,,,10.02,0.91,234.5108696,2998,1,26.85869565,10.89130435,18.30434783,31.588,-30,2.85,1.588,3.262551762,-1.5,0,Conventional,0,0,1.5,0,0,Air-Cut,3.262551762,Face Milling
606.62,G04,X1.0000,,,,,,2.23,0.9,0,2998,1,7,2.450549451,19.01098901,31.588,-30,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
607.52,Y36.5740,,,,,,,183.91,13.19,304.7689394,2998,1,9.238636364,13.93257576,19.02651515,31.588,36.574,0,66.574,66.574,-1.5,0,,0,0,0,0,0,Air-Cut,66.574,Face Milling
620.71,G04,X1.0000,,,,,,6.98,0.9,0,2998,1,6.681318681,7.67032967,18.28571429,31.588,36.574,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
621.61,Z0,,,,,,,4.13,0.58,190.7118644,2998,1,7,7,36.40677966,31.588,36.574,0,0,0,0,1.5,,0,0,0,0,0,Air-cut in Z while retracting,1.5,Face Milling
622.19,G04,X1.0000,,,,,,6.87,0.92,213.1182796,2998,1,7.924731183,7.387096774,29.34408602,31.588,36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,Face Milling
623.11,G00,X-31.5880,Y-36.5740,,,,,12.14,0.28,19136.55172,2998,1,90.4137931,41.86206897,31.06896552,-31.588,-36.574,-63.176,-73.148,96.65317832,0,0,,0,0,0,0,0,No Cut - Rapid motion,96.65317832,Face Milling
623.39,G04,X1.0000,,,,,,5.36,1.18,0,2998,1,6.537815126,4.504201681,31.82352941,-31.588,-36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,Face Milling
624.57,Z-3.0000,,,,,,,4.7,2.34,75.67659574,2998,1,2,2,11.64680851,-31.588,-36.574,0,0,1.5,-3,-3,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,1.5,Face Milling
626.91,G04,X1.0000,,,,,,1.93,0.9,0,2998,1,1.989010989,2.120879121,19.08791209,-31.588,-36.574,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
627.81,Y30.0000,,,,,,,538.41,52.74,75.58369668,2998,18.987109,13.35165877,10.20682464,17.44758294,-31.588,30,0,66.574,66.574,-3,0,Climb,4.9,63.4,1.5,317.07,475.605,Cut with Feed,66.574,Face Milling
680.55,G04,X1.0000,,,,,,6.74,0.9,0,2998,2.065934066,5.901098901,7.406593407,22.96703297,-31.588,30,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
681.45,X-28.4130,Y31.5880,,,,,,31.68,3,75.74750831,2998,12.89700997,44.3255814,10.52491694,22.71096346,-28.413,31.588,3.175,1.588,3.549981549,-3,0,Climb,3.4,4.6,1.5,10.65,15.975,Cut with Feed,3.549981549,Face Milling
684.45,G04,X1.0000,,,,,,11.45,1.8,0,3703.381215,13.12154696,15.50828729,6.325966851,25.06629834,-28.413,31.588,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
